name,latitude,longitude
Magnolia,41.69582,-95.87668
Maharishi Vedic City,41.05252,-91.99490
Malcom,41.70833,-92.55908
Mallard,42.93636,-94.68220
Maloy,40.67443,-94.41218
Malvern,41.00278,-95.58528
Manchester,42.48415,-91.45543
Manilla,41.88971,-95.23222
Manly,43.28718,-93.20215
Manning,41.90915,-95.06499
Manson,42.52914,-94.53414
Mapleton,42.16582,-95.79306
Maquoketa,42.06053,-90.66386
Marathon,42.86164,-94.98249
Marble Rock,42.96525,-92.86853
Marcus,42.82582,-95.80751
Marengo,41.79806,-92.07074
Marion,42.03417,-91.59768
Marne,41.45138,-95.11138
Marquette,43.04443,-91.17819
Marshalltown,42.04943,-92.90798
Martelle,42.02167,-91.35989
Martensdale,41.37305,-93.73578
Martinsburg,41.17890,-92.25185
Marysville,41.18056,-92.94909
Mason City,43.15357,-93.20104
Masonville,42.47943,-91.59127
Massena,41.25415,-94.76831
Matlock,43.24387,-95.93530
Maurice,42.96638,-96.18058
Maxwell,41.89193,-93.39965
Maynard,42.77387,-91.88239
Maysville,41.64864,-90.71681
McCallsburg,42.16637,-93.38576
McCausland,41.74614,-90.44319
McClelland,41.32944,-95.68390
McGregor,43.01832,-91.18263
McIntire,43.43580,-92.59379
Mechanicsville,41.90446,-91.25461
Mediapolis,41.00809,-91.16404
Melbourne,41.94138,-93.10326
Melcher-Dallas,41.22500,-93.24132
Melrose,40.97612,-93.05048
Melvin,43.28747,-95.60918
Menlo,41.51915,-94.40441
Meriden,42.79471,-95.63445
Merrill,42.71971,-96.24864
Meservey,42.91274,-93.47826
Meyer,43.45775,-92.69268
Middle Amana,41.79556,-91.89962
Middletown,40.82837,-91.25904
Miles,42.04836,-90.31569
Milford,43.32469,-95.15000
Miller,43.18412,-93.60021
Millersburg,41.57334,-92.15990
Millerton,40.84945,-93.30549
Milo,41.29166,-93.44243
Milton,40.67336,-92.16212
Minburn,41.75638,-94.02745
Minden,41.46694,-95.54278
Mineola,41.14305,-95.69556
Mingo,41.76749,-93.28354
Missouri Valley,41.55638,-95.88779
Mitchell,43.32191,-92.86770
Mitchellville,41.66812,-93.36394
Modale,41.61971,-96.01196
Mona,43.48719,-92.94130
Mondamin,41.71054,-96.02168
Monmouth,42.07696,-90.87986
Monona,43.05165,-91.38930
Monroe,41.52221,-93.10187
Montezuma,41.58583,-92.52741
Monticello,42.23834,-91.18709
Montour,41.98138,-92.71492
Montrose,40.53226,-91.41488
Moorhead,41.92249,-95.85140
Moorland,42.44164,-94.29497
Moravia,40.89172,-92.81998
Morley,42.00612,-91.24627
Morning Sun,41.09614,-91.25765
Morrison,42.34415,-92.67381
Moulton,40.68585,-92.67741
Mount Auburn,42.25499,-92.09268
Mount Ayr,40.71471,-94.23523
Mount Pleasant,40.96364,-91.55794
Mount Sterling,40.61781,-91.93212
Mount Union,41.05781,-91.39043
Mount Vernon,41.92195,-91.41684
Moville,42.48888,-96.07252
Murray,41.04166,-93.94939
Muscatine,41.42447,-91.04321
Mystic,40.77751,-92.94381
Nashua,42.95039,-92.54254
Nemaha,42.51581,-95.08832
Neola,41.44888,-95.61556
Nevada,42.02277,-93.45243
New Albin,43.49664,-91.28958
Newell,42.60553,-95.00277
Newhall,41.99556,-91.96768
New Hampton,43.05914,-92.31768
New Hartford,42.56693,-92.62214
New Haven,43.28442,-92.64213
New Liberty,41.71780,-90.87904
New London,40.92698,-91.39960
New Market,40.73110,-94.89970
New Providence,42.28110,-93.17159
New Sharon,41.47000,-92.65130
Newton,41.69971,-93.04798
New Vienna,42.54805,-91.11430
New Virginia,41.18222,-93.72883
Nichols,41.48114,-91.30766
Nodaway,40.93721,-94.89498
Nora Springs,43.14408,-93.00893
Northboro,40.60777,-95.29165
North Buena Vista,42.67972,-90.95652
North English,41.51640,-92.07763
North Liberty,41.74918,-91.59795
North Washington,43.11803,-92.41685
Northwood,43.44412,-93.22104
Norwalk,41.49168,-93.70212
Norway,41.90278,-91.92157
Numa,40.68807,-92.97798
Oakland,41.30916,-95.39667
Oakland Acres,41.71722,-92.82047
Oakville,41.09976,-91.04459
Ocheyedan,43.41608,-95.53473
Odebolt,42.31221,-95.25055
Oelwein,42.67332,-91.91350
Ogden,42.03915,-94.02773
Okoboji,43.38635,-95.14833
Olds,41.13419,-91.54488
Olin,41.99807,-91.14155
Ollie,41.19807,-92.09240
Onawa,42.02665,-96.09724
Onslow,42.10696,-91.01515
Orange City,43.00721,-96.05835
Orchard,43.22747,-92.77214
Orient,41.20304,-94.41468
Orleans,43.44718,-95.09249
Osage,43.28414,-92.81103
Osceola,41.03389,-93.76550
Oskaloosa,41.29640,-92.64436
Ossian,43.14636,-91.76460
Osterdock,42.73360,-91.15791
Otho,42.42469,-94.15024
Oto,42.28388,-95.89307
Otranto,43.45830,-92.98575
Ottosen,42.89497,-94.37997
Ottumwa,41.02001,-92.41130
Owasa,42.43359,-93.20715
Oxford,41.72334,-91.79045
Oxford Junction,41.98363,-90.95626
Oyens,42.82027,-96.05780
Pacific Junction,41.01861,-95.79917
Packwood,41.13279,-92.08268
Palmer,42.63053,-94.60053
Palo,42.06611,-91.79546
Panama,41.72638,-95.47222
Panora,41.69165,-94.36302
Panorama Park,41.55559,-90.45319
Parkersburg,42.57748,-92.78686
Park View,41.69420,-90.54569
Parnell,41.58306,-92.00407
Paton,42.16442,-94.25524
Patterson,41.34832,-93.88050
Paullina,42.97915,-95.68807
Pella,41.40514,-92.91775
Peosta,42.45056,-90.85041
Percival,40.74889,-95.81361
Perry,41.83860,-94.10718
Persia,41.57999,-95.56806
Peterson,42.91803,-95.34389
Pierson,42.54416,-95.86751
Pilot Mound,42.16442,-94.01662
Pioneer,42.65386,-94.39247
Pisgah,41.83138,-95.92557
Plainfield,42.84748,-92.53713
Plano,40.75556,-93.04659
Pleasant Hill,41.58388,-93.51994
Pleasanton,40.58056,-93.74383
Pleasant Plain,41.14724,-91.85906
Pleasantville,41.38583,-93.26937
Plover,42.87830,-94.62053
Plymouth,43.24580,-93.12298
Pocahontas,42.73553,-94.66915
Polk City,41.77138,-93.71300
Pomeroy,42.55109,-94.68387
Popejoy,42.59387,-93.42604
Portland,43.12858,-93.12354
Portsmouth,41.65027,-95.51861
Postville,43.08395,-91.56821
Prairieburg,42.23833,-91.42238
Prairie City,41.59943,-93.23521
Prescott,41.02304,-94.61358
